bidder_id,gstin,registered_name,filing_status,status
BID00039,19VZMPN3683W1ZB,Global Agro Industries,Up to date,Active
BID00040,27ZKNCA6541L1ZY,Krishna Textiles Pvt Ltd,Up to date,Active
BID00041,09MAQCZ2155C1ZR,Vishal Steel Works,Up to date,Active
BID00042,24VZGFR1157E1ZJ,Metro Electricals & Co,Up to date,Active
BID00043,09LMICY5431W1Z6,Vishal Electronics Private Limited,Up to date,Active
BID00044,27UQDFB1931O1ZW,Sterling Constructions,Up to date,Active
BID00045,03ISQPK8833W1ZC,National Electronics LLP,Up to date,Active
BID00046,32TSCPF6907J1ZE,National Agro Industries Pvt Ltd,Pending - 2 quarters,Cancelled
BID00047,19LGGCA8425C1Z5,Continental Technologies Private Limited,Up to date,Active
BID00048,24GOOCW2962S1ZD,Sterling Electronics Pvt Ltd,Up to date,Active
BID00049,08EGTCY6869U1Z1,Apex Suppliers,Up to date,Active
BID00050,27DOZCQ5219P1ZF,Reliable Infra Solutions Private Limited,Up to date,Active
BID00051,27CKGPD4665U1ZB,Sterling Exports LLP,Up to date,Active
BID00052,03BVXCJ6100P1ZW,Vintage Suppliers,Up to date,Active
BID00053,03AJLCH8065U1Z5,Elite Agro Industries LLP,Up to date,Active
BID00054,10UFVCR2283E1ZK,Prime Suppliers Private Limited,Up to date,Active
BID00055,09JUPCA1075X1Z7,Shree Technologies Pvt Ltd,Up to date,Active
BID00056,24UWNCO6098N1ZR,Vintage Engineering Works,Pending - 6 months,Active
BID00057,33PCSCU6772O1ZS,Vishal Steel Works Ltd,Up to date,Active
BID00058,27RMCCC0078R1Z3,Krishna Logistics Private Limited,Up to date,Active
BID00059,03PJPPG1483R1ZA,Reliable Engineering Works LLP,Up to date,Active
BID00060,32HTXFL0854E1ZZ,KRISHNA TRADERS PRIVATE LIMITED,Up to date,Active
BID00061,07BCLFN4427D1Z8,Bharat Infra Solutions Ltd,Up to date,Active
BID00062,07KPACJ9772D1ZB,Vishal Engineering Works Private Limited,Up to date,Active
BID00063,27LKQCJ1038T1ZU,National Textiles Ltd,Up to date,Active
BID00064,24TFUCC5159L1Z8,National Constructions LLP,Up to date,Active
BID00065,24YOQCT3934P1Z4,Continental  Steel  Works,Pending - 6 months,Active
BID00066,27OUXCO9516Q1ZM,Sterling Steel Works Ltd,Up to date,Active
BID00067,21SZNCT1324K1ZJ,Global Engineering Works Private Limited,Not filed since last FY,Active
BID00068,33ZSKCT7056K1Z7,Bharat Logistics LLP,Up to date,Active
BID00069,27EZECJ8178Q1Z2,Modern Textiles & Co,Up to date,Active
BID00070,06KRGFO6772H1ZQ,Global Steel Works Pvt Ltd,Up to date,Active
BID00071,21NZVCZ6804L1ZX,Vishal Constructions Ltd,Up to date,Active
BID00072,08CXVCL9433M1Z5,Metro Technologies & Co,Up to date,Active
BID00073,06HVSCE7469A1ZZ,Bharat Technologies Pvt Ltd,Up to date,Active
BID00074,29DGQCT4195A1ZK,Vishal Suppliers LLP,Up to date,Active
BID00075,07RNJCQ5750P1ZH,Reliable Infra Solutions,Up to date,Active
BID00076,36BOVCF8694F1ZX,United Textiles Private Limited,Up to date,Active
BID00077,29WBRCI1387M1Z0,Modern Fabricators LLP,Up to date,Active
BID00078,09PVOCK1324W1Z0,Reliable Enterprises & Co,Up to date,Active
BID00079,08QUBPV6386A1ZZ,Vintage Agro Industries LLP,Up to date,Active
BID00080,19ONKPU2901Q1ZU,Apex Steel Works Pvt Ltd,Up to date,Active
BID00081,19XMDCC4840V1ZJ,Vintage Fabricators,Up to date,Active
BID00082,03FZUFH7053Z1ZL,Global Logistics Ltd,Up to date,Active
BID00083,27RIWCY5571Q1ZZ,National Steel Works & Co,Up to date,Active
BID00084,33FYHPU3551S1ZI,Vishal Enterprises LLP,Up to date,Active
BID00085,27UGFFS4646J1ZY,National Engineering Works,Up to date,Active
BID00086,33KMICE3778M1Z6,SAI INFRA SOLUTIONS & CO,Pending - 2 quarters,Cancelled
BID00087,24SEEPQ4840M1ZQ,Global Textiles Ltd,Up to date,Active
BID00088,27ACDCI7734S1ZN,Elite Fabricators Ltd,Up to date,Active
BID00089,10TFNCQ0078Q1Z8,Prime  Exports  LLP,Up to date,Active
BID00090,29JRZFS3886T1Z6,Vishal Electronics Pvt Ltd,Up to date,Active
BID00091,27VGOCW1031W1ZJ,Metro Constructions Private Limited,Up to date,Active
BID00092,08OZMCM3193L1Z2,Bharat Pharma Private Limited,Pending - 6 months,Active
BID00093,24DRJCM8982J1ZR,Universal Electricals LLP,Up to date,Active
BID00094,24SDQCS2092H1ZG,Universal Electricals Ltd,Up to date,Active
BID00095,19QWMCU1936Y1ZA,Universal Infra Solutions & Co,Up to date,Active
BID00096,23YAVPZ4999B1Z7,Global  Agro  Industries  Private  Limited,Up to date,Active
BID00097,24TQSCA7757F1ZU,United Textiles Private Limited,Up to date,Active
BID00098,19YAJCO7937A1ZK,Bharat  Electronics  LLP,Up to date,Active
BID00099,27FYMPO7645P1Z7,Vishal Logistics Ltd,Up to date,Active
BID00100,08NJXFD0555E1ZE,National Pharma & Co,Not filed since last FY,Active
BID00101,24AGACG5030B1Z4,Precision Fabricators,Up to date,Active
BID00102,08LXJFC6656L1ZA,Reliable Logistics & Co,Up to date,Active
BID00103,09RONCH2329X1Z7,Shree Fabricators & Co,Up to date,Active
BID00104,23CAPFW8204R1ZC,Om Manufacturing Co Pvt Ltd,Up to date,Active
BID00105,36HDRFH4255X1ZS,Prime Textiles Private Limited,Up to date,Active
BID00106,33HSUFB5951H1ZY,Elite Suppliers Private Limited,Up to date,Active
BID00107,33JPBCC1775P1ZB,Modern Engineering Works LLP,Up to date,Active
BID00108,09JNJPI3848X1ZJ,Universal Textiles LLP,Up to date,Active
BID00109,29OPSCJ1338P1ZG,Bharat Traders LLP,Up to date,Active
BID00110,08SMXCR9958C1ZA,Apex Infra Solutions Pvt. Ltd.,Not filed since last FY,Active
BID00111,07AOAPQ7525W1ZZ,Elite Electronics Pvt Ltd,Up to date,Active
BID00112,27GKJCM4262C1ZU,Metro Electricals LLP,Up to date,Active
BID00113,29MLUCS9989H1ZZ,Shree Infra Solutions Pvt Ltd,Up to date,Active
BID00114,27HOOCM6537Z1ZZ,Bharat Constructions Pvt Ltd,Up to date,Active
BID00115,27JYLCV5372H1Z9,Precision Electronics Private Limited,Up to date,Active
BID00116,27DELCR5105T1ZC,Apex Electricals Pvt Limited,Up to date,Active
BID00117,09LKMCC3974T1ZM,Bharat Enterprises Private Limited,Up to date,Active
BID00118,23LLVCU9139G1ZT,Vintage Constructions LLP,Up to date,Active
BID00119,08JVKCD9191Y1ZQ,Continental Suppliers LLP,Up to date,Active
BID00120,24MQGCV1434T1ZL,National Agro Industries,Up to date,Active
BID00121,29QCTFV6165U1Z1,Apex  Exports  Ltd,Up to date,Active
BID00122,24ZMHCC1913O1Z8,Metro Technologies LLP,Up to date,Active
BID00123,08VCWCU1897Q1Z7,National Fabricators Pvt Ltd,Up to date,Active
BID00124,09RKTCG4402I1ZA,Global Infra Solutions,Up to date,Active
BID00125,33WNQCT3313O1ZM,United Electricals,Up to date,Active
BID00126,27DJDCM4131U1ZC,United Suppliers LLP,Up to date,Active
BID00127,06DVZCQ6447O1ZZ,APEX TRADERS & CO,Pending - 6 months,Active
BID00128,08OGOFL5774G1Z2,Universal Pharma Pvt Ltd,Up to date,Active
BID00129,36PLQCZ2203I1Z2,Continental Logistics,Up to date,Active
BID00130,09ZUXCI8182W1ZZ,Metro Industries Private Limited,Up to date,Active
BID00131,07QWCCQ7684P1ZU,Sterling Steel Works Pvt Ltd,Up to date,Active
BID00132,24KZVCP2835S1ZR,Apex Enterprises Ltd,Pending - 2 quarters,Active
BID00133,21CJCPV9133W1ZA,Vishal Infra Solutions LLP,Up to date,Active
BID00134,09RASCD9410M1ZH,Continental Suppliers Ltd,Up to date,Active
BID00135,09NAQCO3279T1ZR,Bharat Technologies Pvt Ltd,Up to date,Active
BID00136,08IDHCC2672W1ZC,Sterling Logistics & Co,Up to date,Active
BID00137,08KGQCC5999E1ZC,Sai Suppliers & Co,Up to date,Active
BID00138,08BGBPB9327Y1ZJ,National Traders Ltd,Pending - 6 months,Cancelled
BID00139,29LYGCH0446J1ZS,National Fabricators,Up to date,Active
BID00140,19USECE7871A1Z1,Apex Pharma Ltd,Pending - 6 months,Active
BID00141,33TAWCA2431B1ZJ,United Industries Pvt. Ltd.,Up to date,Active
BID00142,36WUIPC5025J1Z5,Sterling Enterprises & Co,Up to date,Active
BID00143,21AKGFL6603Y1Z4,UNIVERSAL SUPPLIERS PRIVATE LIMITED,Up to date,Active
BID00144,32XLTFS0180S1Z8,Metro  Agro  Industries,Up to date,Active
BID00145,23CLICD5923I1ZZ,Continental Industries Private Limited,Up to date,Active
BID00146,07SZKCB6290M1Z7,Prime Technologies Pvt Ltd,Pending - 2 quarters,Cancelled
BID00147,36ABXCO8088D1ZM,National Electricals Pvt Ltd,Up to date,Active
BID00148,24REFFF2416T1ZG,Elite Traders & Co,Up to date,Active
BID00149,27QUGCZ5037P1Z0,Bharat Agro Industries Private Limited,Up to date,Active
BID00150,09XUBCP5799D1ZA,Vintage Suppliers Pvt Ltd,Up to date,Active
